de,的
no,不
a,到
la,她
el,他
es,是
y,和
en,在
lo,它
un,一个
por,通过
qué,为什么
me,我
una,一个
te,你
los,那些
se,自己
con,与
para,为了
mi,我的
está,在
si,如果
bien,好
pero,但是
yo,我
eso,那个
las,那些
sí,是
su,她的
tu,你的
aquí,这里
del,的
al,到
como,像
le,给
más,更多
esto,这个
ya,已经
todo,所有
esta,这个
vamos,我们去
muy,非常
hay,有
ahora,现在
algo,一些
estoy,我在
tengo,我有
nos,我们
tú,你
nada,什么都没有
cuando,当
ha,有
este,这个
sé,我知道
estás,你在
así,这样
puedo,我可以
cómo,怎么
quiero,我想
sólo,只是
soy,我是
tiene,他有
gracias,谢谢
o,或者
él,他
bueno,好
fue,曾经
ser,是
hacer,做
son,是
todos,所有
era,她是
eres,你是
vez,次
tienes,你有
creo,我认为
ella,她
he,他
ese,那个
voy,我去
puede,可以
sabes,你知道
hola,你好
sus,他们的
porque,因为
dios,上帝
quién,谁
nunca,从不
dónde,哪里
quieres,你想
casa,家
favor,请
esa,那个
dos,二
tan,那么
señor,先生
tiempo,时间
verdad,真相
estaba,曾经
mejor,更好
están,他们
va,去
hombre,男人
usted,您
mucho,很多
hace,做
entonces,那么
siento,我感到
tenemos,我们有
puedes,你可以
ahí,那里
ti,你
vida,生活
ver,看
alguien,有人
sr,先生
hasta,直到
sin,没有
mí,我
solo,只是
años,年
sobre,关于
decir,说
uno,一个
siempre,总是
oh,哦
ir,去
cosas,事情
también,也
antes,之前
has,你有
ni,也不
mis,我的
día,天
estar,在
estamos,我们在
noche,夜
nadie,没有人
otra,另一个
quiere,想要
parece,似乎
nosotros,我们
poco,一点
padre,父亲
trabajo,工作
gente,人
mira,看
vas,你去
sea,是
les,他们
donde,哪里
mismo,同样
hecho,事实
ellos,他们
dijo,他说
pasa,发生
dinero,钱
hijo,儿子
tal,那样
otro,另一个
hablar,说话
seguro,安全
claro,当然
estas,这些
lugar,地方
mundo,世界
amigo,朋友
espera,等待
mierda,狗屎
han,他们有
tus,你的
sabe,知道
después,之后
momento,时刻
desde,从
fuera,外面
cosa,东西
tipo,类型
